id,body
c966c305-3ff1-45fa-b2c6-3cc610da91e7,"If your goal for the day was to be told how attractive you are (very) and talk to a stranger, you're half way there! "
89f73186-2bdc-4fce-b686-909901a32a10,"I love your profile; playful, down to earth, genuine. It doesn't hurt that you're super cute 🙃"
38ece5be-0e59-4e19-b8f1-8e6ddf2ec23a,Cute and fun with a hint of mystery. I dig it 💕😋 
572970e1-9569-457a-994e-9925f337865a,"Favorite beverage for 9:30am, 2:00 pm, and 10pm?"
f7c3edd0-fddb-47f1-ae55-c7ce3a9f2f31,I'm actually kind of glad we didn't meet in person - I would be totally tongue-tied 😛
fd38d946-c8dd-4e6f-9a5f-4866573fdc5e,What's one personality trait you get from your star sign ✨
6c3c048c-51bc-4d53-bf69-2eeee9b8a193,"How do you like your coffee? I like mine black, strong, and with you 😉 "
7feec955-e9c3-4f84-a9f7-358bcc35b434,What's something no one's complimented you on before that you wish someone would?
0f0c54a3-98a6-4ad9-8cfb-77a9bec66b06,Would you rather have Marie Kondo or Gordon Ramsay as a personal trainer?
282db636-b683-4117-beaa-d65a2964523b,There's something about your eyes. Like you know something that nobody else does... 
11646231-0a84-4103-b1f1-56a57238ac4f,"Smart, sophisticated, and sexy. I like your style"
2874b1df-d2cc-4019-af38-1bc63c6d7931,Are you good at receiving compliments? When can I start?
0f67bc90-4aaa-4b4b-ad43-ec7d3139f4fa,Are you a planner or a spur-of-the-moment type? Important to know when I take you out 🥰😘 
f791af21-9f70-4b85-ac11-1de3dc45ac2c,Crazy travel idea: spend a week with the reindeer herders of Lapland. What's yours?
36b24fd1-f8ba-4571-bac0-296eff343fab,"If you could go back in time and change one decision you made in your life, what would it be?"
7606ec2b-7624-4a12-a0c4-eeb744eab3b1,"On a scale of 1-10, how bad is your travel itch right now?"
dbffc2d8-88f8-4062-89eb-884cc4faab5d,What's your number? I'll text you!
d5b52c46-ee09-4900-acbd-34c53fd49d3f,Your smile tells me you’re clever. What does my smile tell you about me? 
89443b80-974f-476c-94d7-5367fa72162f,What was the last dream you can remember?
ad1aa1ba-4348-46f1-9d68-56c11b528ef9,"Bang, marry, kill: Shrek, Cookie Monster, Yoda"
b3642aff-5a49-43a3-8162-60d51fe9da89,"I gotta be honest, you were the match I was hoping for :)"
902473ad-2d93-48e2-9832-9ea3cec6b69c,soft and stringy or hard and crumbly? no context needed
2b40b2a9-1b32-416c-82d8-08576feec5f0,"What do you want most right now, in this exact moment?"
257d7402-5022-45c5-a5e6-45375a8d7062,Kanye or McConaughey 2024? or is that the ticket?
74132880-8f01-4304-8358-7b7e291abf22,Something about you made my heart skip a beat 💕
8aac4702-2836-4ef5-9243-f0c5d0ce73eb,“Borkborkbork is that my new hooman!” - your dog when we matched
e97d66ed-613b-4002-bdc0-8f3828e56bd2,"Could you ever date someone whose bagel order is: plain bagel, plain cream cheese? "
ad0b3737-1df0-45ee-8142-690bc91e3765,Your ____ caught my eye. Very distracting 😏
5aebbf98-eb01-4d86-b793-2836ed9e937c,"Since our last conversation: I met a someone, got married, got divorced, realized we're meant to be. What about you?"
b13916af-7fce-474d-808b-a927ffba0268,A) Get hit by car\nB) Fall off cliff\nC) Date with me
2b97839b-6a24-4fca-bc1e-7d2e52a1d339,Would you rather live in one place the rest of your life or move every month?
c0c9d634-7c91-47ee-821d-f0d6c535bf5d,Crazy travel idea: a 5-star zeppelin takes us to the South Pole. What's yours?
897e968a-c0f4-4304-9273-b2999838c8cc,👻?
e318840e-af5d-41e4-86d0-9c25b2cca5a8,Here's a revealing question. Favorite meme account? Be honest!
20e8d3ec-cbad-4eb9-a45a-d703ce684985,"To unsubscribe, reply THANK YOU NEXT 🙅‍♀️ or MISSED YOU to rekindle the vibes 🔥"
bcd45f03-2f31-4ed4-9daf-7b24645950d9,Why don’t I just text you?
06dfb774-79a4-4457-a527-dac407632c07,"🍷, 🍺 or 🥃 ?"
0abbf52d-d800-40fc-b15f-32f46bf385d5,What's your skincare routine and why does it include unicorn tears?
9aa7530a-603a-427a-aa60-3498d8eb233a,What about the same sex do you find attractive?
0a4beebb-f5aa-4b73-9027-0f90d6e5117e,You're pretty dang cute 😊 Can I text you?
82c7ae09-50fd-44aa-82c9-07d5ee497ad8,"Beginning of the week pep talk: you're smart, you're good at your job, you're hot, people like you... I can keep going"
e04d2833-7a42-4588-8aae-c5b481f1a4ba,"If you were to make a movie about your life, who would you cast as yourself? "
8a5410f7-6a4e-4b42-82ae-ac7725916d9d,"Chris Hemsworth, Chris Evans, Chris Pine, or Chris Pratt?"
c85465a4-117e-4b81-bcb0-31c2238a1ff8,"I can't quite put my finger on it, but there's something unique about you....like maybe an extra finger?"
758e89e2-a9a4-4a27-9bcc-2e45a4ccad35,"I know tomorrow is Taco Tuesday, but could I interest you in Margherita Monday?"
2c010d9a-e32b-4918-81f8-a24581b09923,Need a mistake to look back on with your future soulmate and laugh about? Look no further.
bfac5149-eadd-4569-88c2-b6d4479bdc07,Describe your perfect date with 3 emojis 😇😇😇
8ec833f1-29e5-42af-8ce5-139032786113,If you gave me your number I would totally use it
c928e482-bab9-4448-9ad9-cf8104c94948,"You look like the kind of person who can ""totally handle"" assembling Ikea furniture"
04475ab5-d204-48b8-bd9d-ed7c4999707f,"I know it's basic, but what's your favorite thing to do on a rainy afternoon?"
064c0946-7d02-41aa-a3cf-c97f546935ef,I’d ask you to netflix & chill but I’m tired of wearing sweats. What do you say we get dressed up and turn some heads?
1f5838d1-f623-48d5-9303-f9ff043bc40e,What's the craziest thing you've done for love? and could it be me?
31ff393e-99e5-4661-9ae6-948b80705674,Want to get together this weekend? We can keep it low key 😌
33a52e95-f671-418e-973f-7de655de66fd,When do you feel sexiest?
5566df87-37b5-41c6-860b-a913265de35e,Does your dog get jealous of how cute you are?
623bd1c1-6cf8-4d44-9fa9-643100e00e0f,"Is there a certain season that you feel closest to nature? Spring, summer...?"
